text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Instructions:,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Turkey and Apple Sandwich,"[0, 0, 100, 20]",14,12.0,4,0,0.011,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9753551508218692,Title/Heading,1,,H1
Ingredients:,"[0, 0, 100, 20]",2,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Instructions:,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Mediterranean Tuna Salad,"[0, 0, 100, 20]",14,12.0,3,0,0.011,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9939566981479124,Title/Heading,0,,H1
Ingredients:,"[0, 0, 100, 20]",2,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Instructions:,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Chicken and Avocado Wrap,"[0, 0, 100, 20]",15,12.0,4,0,0.0105,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9758387065093116,Title/Heading,1,,H1
Ingredients:,"[0, 0, 100, 20]",2,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Instructions:,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Lentil and Veggie Wrap,"[0, 0, 100, 20]",15,12.0,4,0,0.0095,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9767782139129136,Title/Heading,1,,H1
Ingredients:,"[0, 0, 100, 20]",2,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Instructions:,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Turkey and Hummus Wrap,"[0, 0, 100, 20]",15,12.0,4,0,0.0095,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9767782139129136,Title/Heading,1,,H1
Ingredients:,"[0, 0, 100, 20]",2,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
Instructions:,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading,0,"{'type': 'roman', 'depth': 1}",H1
